Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
mar 2014;11,858;606;432;1,821;223;32;492;5,004;515;187;431;302;345;653;220;52;146;174;24;196;2;0
abr 2014;12,440;609;416;1,922;219;36;513;5,293;524;189;454;300;348;760;225;53;156;211;28;182;2;1
may 2014;12,829;641;412;2,027;220;35;499;5,549;548;197;462;318;350;726;234;56;145;200;28;182;2;0
jun 2014;14,974;968;444;2,209;234;36;616;5,751;1,080;214;459;317;430;972;233;56;196;465;29;258;4;1
jul 2014;12,867;642;417;2,022;220;38;555;5,411;555;200;478;344;363;765;241;66;111;207;27;201;2;1
ago 2014;12,930;642;355;1,992;222;36;532;5,497;562;218;471;350;374;722;246;53;196;238;29;193;2;0
sep 2014;13,664;634;473;2,046;227;35;594;5,890;554;197;494;366;367;841;232;62;198;212;27;210;2;0
oct 2014;13,378;685;422;2,107;232;35;551;5,720;523;206;482;341;359;793;238;67;172;206;33;203;2;0
nov 2014;14,836;657;450;2,107;245;35;874;5,818;549;215;490;329;382;1,268;258;547;145;219;33;213;2;1
dic 2014;20,225;1,236;530;2,777;260;43;1,165;7,588;1,357;284;596;447;651;1,698;321;96;211;554;53;348;5;1
ene 2015;11,365;579;310;1,802;246;32;330;5,004;492;188;431;307;307;517;205;61;150;203;27;169;2;0
feb 2015;11,520;596;312;1,789;238;34;454;4,794;555;188;426;294;320;671;221;62;134;224;28;177;2;0
mar 2015;13,225;620;383;2,092;242;37;590;5,639;574;206;463;327;338;752;245;63;188;228;33;200;2;0
abr 2015;12,624;604;412;1,987;248;36;497;5,359;553;204;467;333;342;669;245;68;166;218;30;181;2;1
may 2015;12,674;645;355;1,982;245;36;494;5,355;556;208;450;339;349;767;242;65;148;207;34;195;2;1
jun 2015;15,352;1,070;329;2,338;253;37;530;5,809;1,182;230;488;328;434;974;253;69;207;503;39;272;3;0
jul 2015;12,629;643;348;1,958;247;37;550;5,228;563;211;470;357;363;726;257;74;111;252;33;199;2;0
ago 2015;12,250;602;355;1,916;252;36;476;5,117;501;210;470;322;358;713;260;60;184;200;33;182;2;0
sep 2015;12,492;624;312;1,983;254;37;512;5,156;553;194;466;327;357;744;247;63;223;197;32;208;2;1
oct 2015;12,589;659;319;1,973;263;37;559;5,134;531;203;473;377;349;816;246;66;168;193;32;188;2;0
nov 2015;12,490;640;295;1,914;271;38;624;5,131;513;198;467;332;348;800;270;60;130;226;36;194;2;1
dic 2015;18,415;1,330;324;2,541;296;41;901;6,756;1,339;275;581;433;617;1,440;304;73;218;559;56;326;4;0
ene 2016;10,279;559;274;1,579;282;36;282;4,304;492;176;391;307;298;531;192;63;140;187;25;158;1;0
feb 2016;10,509;581;300;1,616;271;34;335;4,219;502;182;407;316;294;622;200;59;179;206;27;156;1;0
mar 2016;11,386;637;398;1,757;296;36;443;4,548;501;183;449;326;318;567;227;60;186;232;28;189;1;1
abr 2016;11,301;638;368;1,730;273;35;371;4,582;502;178;437;309;331;699;221;66;162;201;26;170;1;0
may 2016;12,230;681;305;1,922;258;49;550;5,086;504;188;454;345;334;666;229;59;151;216;41;190;1;0
jun 2016;13,434;1,095;229;2,037;255;37;415;4,973;1,115;204;426;308;350;747;217;60;196;499;27;239;4;1
jul 2016;11,025;627;361;1,714;244;36;394;4,543;490;194;425;310;346;535;231;65;99;209;28;172;1;1
ago 2016;11,720;660;361;1,856;245;39;462;4,815;511;193;436;346;313;587;239;54;176;222;31;172;1;0
sep 2016;11,935;641;416;1,851;245;40;507;4,864;514;185;438;329;287;662;221;58;251;208;31;184;1;0
oct 2016;11,957;678;307;1,901;251;38;619;4,933;515;191;426;328;280;611;222;64;168;200;27;194;2;0
nov 2016;12,642;680;519;1,937;264;37;691;5,114;510;195;431;357;300;716;258;57;135;211;38;188;2;1
dic 2016;18,842;1,387;298;2,573;291;44;1,281;6,843;1,376;268;552;439;565;1,395;295;68;210;551;56;341;5;2
ene 2017;10,860;637;269;1,718;264;37;309;4,708;478;176;375;328;255;486;203;66;141;211;26;170;2;0
feb 2017;10,715;629;346;1,637;255;34;591;4,291;470;175;388;312;244;533;209;60;154;201;28;153;1;0
mar 2017;12,758;759;426;1,971;254;39;682;5,182;520;202;430;377;270;635;237;67;245;216;32;208;2;1
abr 2017;11,866;701;352;1,814;267;35;571;4,886;509;197;429;318;275;592;243;69;185;210;31;179;2;1
may 2017;12,534;774;439;1,961;261;37;509;5,254;531;208;433;354;286;605;243;65;152;205;30;186;2;1
jun 2017;15,489;1,239;348;2,338;260;37;531;5,924;1,244;242;435;355;368;843;240;63;206;510;36;266;3;0
jul 2017;12,173;698;333;1,925;251;41;450;5,234;531;212;430;338;281;589;240;62;109;220;33;193;2;0
ago 2017;12,692;740;320;2,049;263;42;436;5,477;559;218;444;353;287;580;255;63;170;210;33;190;2;0
sep 2017;12,674;698;371;1,962;256;42;519;5,365;538;204;437;362;279;605;227;56;296;220;32;202;2;0
oct 2017;13,099;768;432;2,069;263;42;617;5,476;562;203;443;394;292;619;242;65;178;208;33;192;2;0
nov 2017;13,484;779;358;2,169;254;44;662;5,810;553;210;432;373;299;638;265;62;143;196;36;198;2;0
dic 2017;19,753;1,483;435;2,680;278;48;1,169;7,445;1,477;313;553;439;522;1,344;321;78;216;569;52;325;4;1
ene 2018;11,944;727;339;1,892;250;40;307;5,360;529;191;392;350;259;467;210;68;154;201;30;177;1;0
feb 2018;11,643;696;306;1,894;248;40;433;4,891;517;201;413;343;255;492;232;111;148;205;28;188;2;0
mar 2018;13,112;818;417;2,037;253;44;384;5,698;558;224;430;375;277;568;250;62;252;244;30;191;2;0
abr 2018;12,935;761;329;2,032;258;40;396;5,605;548;222;448;360;284;626;258;71;231;234;27;200;2;0
may 2018;13,573;819;319;2,178;250;42;416;5,977;592;223;477;376;287;615;270;86;170;242;32;201;2;0
jun 2018;16,298;1,277;337;2,394;246;46;511;6,421;1,323;272;458;385;374;861;271;69;214;549;33;253;3;0
jul 2018;13,166;750;395;2,085;236;42;491;5,686;581;228;452;384;283;601;276;72;123;241;37;201;2;0
ago 2018;13,596;775;384;2,122;240;43;452;5,958;601;237;476;378;293;588;279;90;209;230;34;203;2;0
sep 2018;13,298;709;370;2,026;238;43;633;5,703;568;228;460;377;290;590;257;64;264;241;32;202;2;0
oct 2018;13,927;779;406;2,216;251;44;487;6,037;607;217;469;396;296;639;271;74;211;264;31;228;2;0
nov 2018;13,956;789;374;2,178;259;47;500;6,126;606;228;462;396;307;692;289;70;152;239;33;206;2;0
dic 2018;19,931;1,515;424;2,676;249;52;986;7,633;1,567;336;573;452;534;1,294;349;75;222;607;58;323;3;0
ene 2019;12,502;736;324;1,895;254;43;368;5,548;607;205;403;399;260;503;227;80;170;236;30;214;2;0
feb 2019;12,278;716;420;1,868;261;46;319;5,273;583;216;433;387;260;521;245;68;168;265;30;197;2;0
mar 2019;12,816;767;386;1,886;263;43;371;5,558;577;225;440;401;270;570;252;67;247;260;37;194;2;0
abr 2019;13,696;792;408;2,029;255;46;472;5,899;624;226;456;413;283;650;266;81;241;289;34;229;2;0
may 2019;13,774;872;443;2,050;271;46;422;6,014;599;237;463;401;286;640;280;68;173;261;38;208;2;0
jun 2019;16,291;1,312;457;2,213;250;46;412;6,482;1,374;286;455;388;368;798;277;69;221;578;35;265;2;0
jul 2019;13,517;830;401;1,981;248;48;424;5,970;589;241;446;438;290;596;283;74;136;259;35;225;2;0
ago 2019;13,491;810;374;2,008;249;47;388;5,985;587;250;455;420;293;553;281;65;217;251;42;212;2;0
sep 2019;13,456;756;432;1,983;249;52;401;5,889;587;227;453;399;282;594;265;68;309;261;32;215;2;0
oct 2019;13,252;842;431;2,010;253;51;449;5,686;553;218;433;405;286;588;252;79;198;266;32;218;2;0
nov 2019;14,027;901;367;2,130;248;52;456;6,201;587;252;453;398;292;624;293;66;168;277;37;221;2;0
dic 2019;20,795;1,704;408;2,662;259;55;817;8,021;1,546;361;763;485;525;1,263;487;89;241;704;57;343;2;0
ene 2020;12,892;827;368;1,891;263;54;267;5,730;599;219;391;476;268;486;237;81;176;308;37;211;1;0
feb 2020;12,380;918;402;1,766;272;58;319;5,311;580;220;401;427;259;476;233;72;166;281;32;184;1;0
mar 2020;10,161;736;326;1,483;257;50;239;4,300;433;125;366;373;229;400;190;55;202;222;26;149;1;0
abr 2020;7,481;688;309;1,078;260;41;147;2,927;321;59;318;287;156;300;136;29;110;177;16;122;1;0
may 2020;8,652;741;208;1,347;253;41;159;3,770;352;73;334;300;178;295;139;33;124;164;12;129;1;0
jun 2020;13,475;1,348;249;1,883;246;51;250;5,659;951;144;385;329;281;602;182;53;165;466;20;209;2;0
jul 2020;10,969;738;289;1,716;230;48;263;5,032;398;111;382;379;208;418;177;52;97;247;14;170;1;0
ago 2020;10,965;670;296;1,687;237;52;310;4,987;385;127;388;378;208;422;170;61;149;272;16;150;1;0
sep 2020;11,703;713;317;1,835;173;50;317;5,318;442;134;388;363;221;474;166;56;234;319;21;162;1;0
oct 2020;12,321;781;326;1,958;234;53;311;5,545;484;146;403;386;235;502;187;62;202;297;18;190;1;0
nov 2020;12,401;770;321;1,920;254;57;345;5,667;477;161;399;376;251;525;191;55;133;308;17;172;1;0
dic 2020;19,650;1,607;209;2,597;257;64;720;8,062;1,284;284;529;444;450;1,315;371;67;222;747;44;368;3;0
ene 2021;11,008;716;190;1,730;259;56;219;5,115;458;139;354;388;217;373;153;63;121;268;23;164;1;0
feb 2021;11,113;750;337;1,701;246;48;244;4,950;463;139;365;386;222;416;152;63;152;304;20;154;1;0
mar 2021;13,052;901;382;2,010;244;55;330;5,776;541;165;397;385;244;515;200;65;255;382;24;183;1;0
abr 2021;12,567;886;481;1,894;289;55;304;5,487;513;144;394;376;241;537;179;62;186;335;21;182;1;0
may 2021;12,855;937;358;1,968;261;55;294;5,752;556;146;398;377;241;505;201;59;155;386;20;184;1;0
jun 2021;18,157;1,599;387;2,518;263;63;418;7,548;1,233;290;450;388;347;962;281;62;208;749;36;350;3;0
jul 2021;13,316;928;376;2,017;238;58;327;6,135;575;186;394;389;258;513;221;63;117;308;20;192;1;0
ago 2021;13,727;912;369;2,141;261;58;336;6,301;587;195;412;401;251;519;230;75;184;284;26;185;1;0
sep 2021;14,189;973;373;2,238;263;61;361;6,461;580;181;398;421;265;548;221;60;270;298;27;189;1;0
oct 2021;14,298;1,026;302;2,291;279;58;378;6,514;584;202;404;433;269;558;223;61;190;295;27;205;1;0
nov 2021;14,949;1,005;344;2,341;265;62;418;6,894;626;211;409;429;282;577;351;64;150;295;28;195;1;0
dic 2021;23,486;1,870;571;3,067;288;89;939;9,336;1,572;396;538;545;499;1,552;422;79;251;949;60;456;4;0
ene 2022;12,931;912;175;2,030;269;56;231;6,163;552;160;340;451;232;460;193;68;134;298;24;180;1;0
feb 2022;13,152;923;243;2,076;299;63;281;5,958;574;185;361;470;237;464;218;66;164;372;26;169;1;0
mar 2022;15,102;1,049;517;2,368;265;55;365;6,825;637;193;399;466;269;536;252;84;258;342;34;186;1;0
abr 2022;14,838;967;474;2,312;291;63;379;6,725;661;207;380;451;268;587;244;75;209;329;28;186;1;0
may 2022;15,177;1,043;393;2,429;287;60;334;7,040;666;207;387;454;286;552;250;89;176;305;30;188;1;0
jun 2022;20,385;1,862;466;2,636;276;66;539;8,264;1,536;395;456;453;390;1,086;374;71;257;765;64;423;3;0
jul 2022;15,173;1,095;404;2,399;266;61;394;7,010;639;215;387;456;279;548;268;78;118;336;28;192;1;0
ago 2022;15,824;1,049;402;2,513;282;61;463;7,290;714;227;411;478;275;570;278;72;197;319;35;187;1;0
sep 2022;15,681;967;461;2,442;277;61;427;7,149;731;205;411;521;277;593;260;73;289;320;34;180;1;0
oct 2022;15,636;1,015;420;2,414;281;57;452;7,145;704;227;398;493;285;617;259;74;227;342;33;191;1;0
nov 2022;16,033;993;504;2,479;283;60;479;7,285;713;206;422;489;305;634;360;77;160;372;33;179;1;0
dic 2022;26,591;2,225;534;3,338;319;85;1,001;10,646;1,897;496;608;582;538;1,757;569;86;291;996;101;513;3;0
ene 2023;14,281;958;271;2,178;312;57;290;6,646;753;199;384;505;254;502;225;90;156;284;36;180;0;0
feb 2023;13,764;927;422;2,047;352;58;318;6,096;727;193;370;460;250;520;244;67;171;357;28;155;0;0
mar 2023;15,942;1,054;562;2,417;324;59;389;6,987;784;224;414;563;286;619;278;88;285;401;34;172;1;0
abr 2023;14,759;951;473;2,178;311;63;427;6,538;760;200;399;501;276;624;267;88;211;296;29;166;0;0
may 2023;15,616;1,037;476;2,366;313;50;412;7,014;783;213;410;545;289;597;264;91;184;379;33;159;0;0
jun 2023;20,725;1,768;477;2,743;316;62;521;8,313;1,773;386;455;526;391;1,045;387;80;250;853;58;368;2;0
jul 2023;15,842;1,049;479;2,401;309;60;452;7,300;756;239;410;536;292;604;291;77;134;375;29;181;0;0
ago 2023;16,170;1,021;471;2,466;310;61;480;7,470;778;253;428;537;289;607;290;76;213;360;33;170;0;0
sep 2023;16,315;1,023;503;2,476;294;62;498;7,494;786;234;424;556;291;638;276;75;306;381;34;182;1;0
oct 2023;16,455;1,104;484;2,555;317;61;514;7,580;777;256;421;564;298;654;280;75;234;375;32;191;0;0
nov 2023;16,887;1,106;502;2,591;326;63;557;7,851;787;248;432;562;312;679;377;75;175;387;33;174;0;0
dic 2023;26,231;2,123;543;3,329;341;76;1,073;10,585;2,036;505;599;665;551;1,683;565;75;289;1,077;73;483;2;0
ene 2024;14,793;1,024;370;2,283;324;61;333;7,123;757;224;380;572;263;512;237;75;169;341;32;180;0;0
feb 2024;14,565;1,050;458;2,233;336;61;383;6,724;746;227;385;552;263;531;254;75;188;413;28;154;0;0
mar 2024;16,034;1,132;547;2,435;331;61;443;7,363;779;250;417;582;285;602;289;75;292;443;34;177;0;0
abr 2024;15,021;1,079;533;2,300;341;62;437;6,915;746;229;402;543;271;609;275;75;223;382;28;172;0;0
may 2024;15,724;1,159;494;2,468;330;60;420;7,444;768;240;412;564;283;581;277;75;194;417;29;163;0;0
jun 2024;20,856;1,939;510;2,851;325;65;551;8,803;1,755;423;459;562;385;1,023;399;75;262;936;49;373;1;0
jul 2024;16,088;1,153;515;2,496;318;63;478;7,726;753;267;414;580;289;592;302;75;142;403;27;186;0;0
ago 2024;16,447;1,118;508;2,564;327;64;507;7,909;778;282;432;585;286;596;305;75;224;380;31;171;0;0
sep 2024;16,619;1,105;541;2,575;313;65;526;7,937;788;262;428;599;289;627;288;75;321;393;32;182;0;0
oct 2024;16,785;1,182;521;2,657;329;64;543;8,026;782;286;425;607;296;644;291;75;246;401;30;194;0;0
nov 2024;17,056;1,117;507;2,617;329;63;562;7,929;794;250;437;568;315;685;381;76;177;391;33;176;0;0
dic 2024;26,493;2,145;548;3,362;345;77;1,083;10,691;2,057;510;605;672;556;1,699;571;76;292;1,088;74;488;2;0
ene 2025;14,941;1,034;374;2,306;327;61;336;7,195;764;226;384;577;266;517;240;76;170;344;32;181;0;0
feb 2025;14,711;1,061;463;2,255;339;62;387;6,791;753;230;389;557;265;536;257;76;190;417;28;155;0;0
mar 2025;16,194;1,143;553;2,459;335;61;447;7,437;787;252;421;587;287;608;292;76;295;448;34;179;0;0
abr 2025;15,171;1,090;538;2,323;344;62;441;6,984;753;232;406;549;274;615;278;76;225;386;28;173;0;0
may 2025;15,882;1,170;499;2,492;333;60;424;7,519;776;242;416;569;286;587;279;76;196;421;30;164;0;0
jun 2025;21,065;1,958;515;2,880;328;66;556;8,891;1,773;428;464;567;389;1,034;403;76;265;945;49;377;1;0
jul 2025;16,248;1,164;520;2,521;321;64;483;7,804;761;270;418;586;292;598;305;76;144;407;27;188;0;0
ago 2025;16,611;1,129;513;2,590;330;65;512;7,988;786;285;437;591;289;602;308;76;226;384;31;173;0;0
sep 2025;16,785;1,116;547;2,600;317;66;531;8,017;796;265;432;605;292;633;291;76;324;397;32;184;0;0
oct 2025;16,953;1,194;526;2,684;332;65;549;8,107;790;288;429;613;298;650;294;76;249;405;30;196;0;0
nov 2025;17,227;1,128;512;2,643;332;64;568;8,008;802;253;441;573;319;692;385;77;179;395;33;177;0;0
dic 2025;26,758;2,166;554;3,396;348;77;1,094;10,798;2,077;515;611;678;562;1,716;577;77;295;1,099;75;493;2;0
ene 2026;15,090;1,045;377;2,329;330;62;340;7,267;772;229;388;583;269;522;242;77;172;347;33;183;0;0
feb 2026;14,858;1,071;467;2,278;342;63;390;6,859;761;232;393;563;268;541;259;77;192;422;28;157;0;0
mar 2026;16,356;1,155;558;2,484;338;62;452;7,511;795;255;425;593;290;614;294;77;298;452;34;181;0;0
abr 2026;15,323;1,101;544;2,346;348;63;446;7,054;761;234;410;554;277;621;281;77;227;390;28;175;0;0
may 2026;16,040;1,182;504;2,517;337;61;429;7,594;783;245;420;575;289;593;282;77;198;425;30;166;0;0
jun 2026;21,276;1,978;520;2,908;331;67;562;8,980;1,790;432;468;573;393;1,044;407;77;267;955;50;381;2;0
jul 2026;16,411;1,176;526;2,546;324;65;488;7,882;768;273;423;592;295;604;308;77;145;411;28;190;0;0
ago 2026;16,777;1,140;518;2,615;334;66;517;8,068;794;288;441;597;292;608;311;77;229;388;32;175;0;0
sep 2026;16,953;1,127;552;2,626;320;66;536;8,097;804;268;437;611;295;639;294;77;327;401;33;186;0;0
oct 2026;17,122;1,206;532;2,711;336;65;554;8,188;798;291;434;619;301;657;297;77;251;409;31;198;0;0
nov 2026;17,399;1,139;518;2,669;335;65;573;8,088;810;255;445;579;322;699;389;78;180;399;34;179;0;0
dic 2026;27,026;2,188;559;3,430;351;78;1,105;10,906;2,098;520;617;685;568;1,734;583;78;297;1,110;75;498;2;0
ene 2027;15,241;1,055;381;2,352;334;63;343;7,339;780;231;392;589;271;528;244;78;174;351;33;185;0;0
feb 2027;15,007;1,082;472;2,300;346;63;394;6,927;769;234;397;569;271;547;262;78;194;426;29;158;0;0
mar 2027;16,520;1,166;564;2,509;341;63;456;7,586;802;257;429;599;293;620;297;78;301;457;35;183;0;0
abr 2027;15,476;1,112;549;2,370;351;64;450;7,124;769;236;414;560;280;627;283;78;229;393;29;177;0;0
may 2027;16,201;1,194;509;2,542;340;61;433;7,670;791;247;424;581;292;599;285;78;200;430;30;168;0;0
jun 2027;21,488;1,998;526;2,938;335;67;567;9,070;1,808;436;473;579;397;1,054;411;78;270;964;50;385;2;0
jul 2027;16,575;1,188;531;2,572;327;65;493;7,961;776;275;427;598;298;610;311;78;147;415;28;191;0;0
ago 2027;16,945;1,152;524;2,642;337;66;523;8,148;801;291;445;603;295;614;314;78;231;392;32;177;0;0
sep 2027;17,122;1,138;558;2,653;323;67;542;8,178;812;270;441;617;298;646;297;78;330;405;33;188;0;0
oct 2027;17,293;1,218;537;2,738;339;66;560;8,270;806;294;438;625;304;663;300;78;254;413;31;200;0;0
nov 2027;17,573;1,151;523;2,696;339;65;579;8,169;819;258;450;585;325;706;392;78;182;403;34;181;0;0
dic 2027;27,296;2,210;565;3,464;355;79;1,116;11,015;2,119;525;624;692;573;1,751;588;78;300;1,121;76;503;2;0
ene 2028;15,393;1,066;385;2,376;337;63;346;7,413;787;233;396;595;274;533;247;78;175;354;33;187;0;0
feb 2028;15,157;1,093;477;2,323;349;64;398;6,997;776;236;401;574;273;552;264;78;196;430;29;160;0;0
mar 2028;16,685;1,178;570;2,534;345;63;461;7,662;811;260;434;605;296;626;300;78;304;461;35;184;0;0
abr 2028;15,631;1,123;555;2,394;355;64;455;7,195;776;239;418;566;282;633;286;78;232;397;29;179;0;0
may 2028;16,363;1,206;514;2,568;344;62;437;7,747;799;250;429;587;295;605;288;78;202;434;31;169;0;0
jun 2028;21,703;2,018;531;2,967;338;68;573;9,161;1,826;441;478;585;401;1,065;415;78;273;974;51;388;2;0
jul 2028;16,741;1,199;536;2,597;330;66;498;8,040;784;278;431;604;301;616;314;78;148;419;28;193;0;0
ago 2028;17,114;1,163;529;2,668;340;67;528;8,230;809;293;450;609;298;620;317;78;233;396;32;178;0;0
sep 2028;17,294;1,150;563;2,679;326;68;547;8,260;820;273;445;623;301;652;300;78;334;409;33;190;0;0
oct 2028;17,466;1,230;542;2,765;342;67;565;8,352;814;297;442;632;308;670;303;78;256;417;31;202;0;0
nov 2028;17,749;1,162;528;2,723;342;66;585;8,251;827;260;454;591;328;713;396;79;184;407;34;183;0;0
dic 2028;27,569;2,232;571;3,499;358;80;1,127;11,125;2,140;531;630;699;579;1,768;594;79;303;1,132;77;508;2;0
ene 2029;15,547;1,076;389;2,399;340;64;350;7,487;795;236;400;601;277;538;249;79;177;358;34;189;0;0
feb 2029;15,308;1,104;481;2,347;353;65;402;7,066;784;239;405;580;276;558;267;79;198;434;29;161;0;0
mar 2029;16,852;1,190;575;2,559;348;64;465;7,739;819;262;438;611;299;632;303;79;307;466;35;186;0;0
abr 2029;15,787;1,134;560;2,417;358;65;459;7,267;784;241;422;571;285;640;289;79;234;401;29;180;0;0
may 2029;16,526;1,218;519;2,593;347;63;442;7,824;807;252;433;593;297;611;291;79;204;438;31;171;0;0
jun 2029;21,920;2,038;536;2,997;341;69;579;9,252;1,844;445;483;591;405;1,076;419;79;275;984;51;392;2;0
jul 2029;16,908;1,211;542;2,623;334;67;502;8,121;792;281;435;610;304;622;317;79;150;423;28;195;0;0
ago 2029;17,286;1,175;534;2,695;344;68;533;8,312;818;296;454;615;301;626;320;79;236;400;33;180;0;0
sep 2029;17,467;1,161;569;2,706;329;69;553;8,342;828;276;450;629;304;659;303;79;337;413;34;192;0;0
oct 2029;17,641;1,243;548;2,793;346;67;571;8,436;822;300;447;638;311;676;306;79;259;421;32;204;0;0
nov 2029;17,926;1,174;533;2,750;346;67;591;8,334;835;263;459;596;331;720;400;80;186;411;35;185;0;0
dic 2029;27,845;2,254;576;3,534;362;81;1,139;11,236;2,162;536;636;706;585;1,786;600;80;306;1,143;78;513;2;0
ene 2030;15,703;1,087;393;2,423;344;64;353;7,562;803;238;404;607;280;544;252;80;179;361;34;191;0;0
feb 2030;15,461;1,115;486;2,370;356;65;406;7,137;792;241;409;586;279;563;270;80;200;439;30;163;0;0
mar 2030;17,020;1,202;581;2,585;352;64;470;7,816;827;265;442;617;302;639;306;80;310;470;36;188;0;0
abr 2030;15,945;1,145;566;2,442;362;66;464;7,340;792;244;427;577;288;646;292;80;236;405;29;182;0;0
may 2030;16,692;1,230;525;2,619;350;63;446;7,902;815;255;437;599;300;617;294;80;206;443;31;173;0;0
