Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
mar 2014;11,858;606;432;1,821;223;32;492;5,004;515;187;431;302;345;653;220;52;146;174;24;196;2;0
abr 2014;12,440;609;416;1,922;219;36;513;5,293;524;189;454;300;348;760;225;53;156;211;28;182;2;1
may 2014;12,829;641;412;2,027;220;35;499;5,549;548;197;462;318;350;726;234;56;145;200;28;182;2;0
jun 2014;14,974;968;444;2,209;234;36;616;5,751;1,080;214;459;317;430;972;233;56;196;465;29;258;4;1
jul 2014;12,867;642;417;2,022;220;38;555;5,411;555;200;478;344;363;765;241;66;111;207;27;201;2;1
ago 2014;12,930;642;355;1,992;222;36;532;5,497;562;218;471;350;374;722;246;53;196;238;29;193;2;0
sep 2014;13,664;634;473;2,046;227;35;594;5,890;554;197;494;366;367;841;232;62;198;212;27;210;2;0
oct 2014;13,378;685;422;2,107;232;35;551;5,720;523;206;482;341;359;793;238;67;172;206;33;203;2;0
nov 2014;14,836;657;450;2,107;245;35;874;5,818;549;215;490;329;382;1,268;258;547;145;219;33;213;2;1
dic 2014;20,225;1,236;530;2,777;260;43;1,165;7,588;1,357;284;596;447;651;1,698;321;96;211;554;53;348;5;1
ene 2015;11,365;579;310;1,802;246;32;330;5,004;492;188;431;307;307;517;205;61;150;203;27;169;2;0
feb 2015;11,520;596;312;1,789;238;34;454;4,794;555;188;426;294;320;671;221;62;134;224;28;177;2;0
mar 2015;13,225;620;383;2,092;242;37;590;5,639;574;206;463;327;338;752;245;63;188;228;33;200;2;0
abr 2015;12,624;604;412;1,987;248;36;497;5,359;553;204;467;333;342;669;245;68;166;218;30;181;2;1
may 2015;12,674;645;355;1,982;245;36;494;5,355;556;208;450;339;349;767;242;65;148;207;34;195;2;1
jun 2015;15,352;1,070;329;2,338;253;37;530;5,809;1,182;230;488;328;434;974;253;69;207;503;39;272;3;0
jul 2015;12,629;643;348;1,958;247;37;550;5,228;563;211;470;357;363;726;257;74;111;252;33;199;2;0
ago 2015;12,250;602;355;1,916;252;36;476;5,117;501;210;470;322;358;713;260;60;184;200;33;182;2;0
sep 2015;12,492;624;312;1,983;254;37;512;5,156;553;194;466;327;357;744;247;63;223;197;32;208;2;1
oct 2015;12,589;659;319;1,973;263;37;559;5,134;531;203;473;377;349;816;246;66;168;193;32;188;2;0
nov 2015;12,490;640;295;1,914;271;38;624;5,131;513;198;467;332;348;800;270;60;130;226;36;194;2;1
dic 2015;18,415;1,330;324;2,541;296;41;901;6,756;1,339;275;581;433;617;1,440;304;73;218;559;56;326;4;0
ene 2016;10,279;559;274;1,579;282;36;282;4,304;492;176;391;307;298;531;192;63;140;187;25;158;1;0
feb 2016;10,509;581;300;1,616;271;34;335;4,219;502;182;407;316;294;622;200;59;179;206;27;156;1;0
mar 2016;11,386;637;398;1,757;296;36;443;4,548;501;183;449;326;318;567;227;60;186;232;28;189;1;1
abr 2016;11,301;638;368;1,730;273;35;371;4,582;502;178;437;309;331;699;221;66;162;201;26;170;1;0
may 2016;12,230;681;305;1,922;258;49;550;5,086;504;188;454;345;334;666;229;59;151;216;41;190;1;0
jun 2016;13,434;1,095;229;2,037;255;37;415;4,973;1,115;204;426;308;350;747;217;60;196;499;27;239;4;1
jul 2016;11,025;627;361;1,714;244;36;394;4,543;490;194;425;310;346;535;231;65;99;209;28;172;1;1
ago 2016;11,720;660;361;1,856;245;39;462;4,815;511;193;436;346;313;587;239;54;176;222;31;172;1;0
sep 2016;11,935;641;416;1,851;245;40;507;4,864;514;185;438;329;287;662;221;58;251;208;31;184;1;0
oct 2016;11,957;678;307;1,901;251;38;619;4,933;515;191;426;328;280;611;222;64;168;200;27;194;2;0
nov 2016;12,642;680;519;1,937;264;37;691;5,114;510;195;431;357;300;716;258;57;135;211;38;188;2;1
dic 2016;18,842;1,387;298;2,573;291;44;1,281;6,843;1,376;268;552;439;565;1,395;295;68;210;551;56;341;5;2
ene 2017;10,860;637;269;1,718;264;37;309;4,708;478;176;375;328;255;486;203;66;141;211;26;170;2;0
feb 2017;10,715;629;346;1,637;255;34;591;4,291;470;175;388;312;244;533;209;60;154;201;28;153;1;0
mar 2017;12,758;759;426;1,971;254;39;682;5,182;520;202;430;377;270;635;237;67;245;216;32;208;2;1
abr 2017;11,866;701;352;1,814;267;35;571;4,886;509;197;429;318;275;592;243;69;185;210;31;179;2;1
may 2017;12,534;774;439;1,961;261;37;509;5,254;531;208;433;354;286;605;243;65;152;205;30;186;2;1
jun 2017;15,489;1,239;348;2,338;260;37;531;5,924;1,244;242;435;355;368;843;240;63;206;510;36;266;3;0
jul 2017;12,173;698;333;1,925;251;41;450;5,234;531;212;430;338;281;589;240;62;109;220;33;193;2;0
ago 2017;12,692;740;320;2,049;263;42;436;5,477;559;218;444;353;287;580;255;63;170;210;33;190;2;0
sep 2017;12,674;698;371;1,962;256;42;519;5,365;538;204;437;362;279;605;227;56;296;220;32;202;2;0
oct 2017;13,099;768;432;2,069;263;42;617;5,476;562;203;443;394;292;619;242;65;178;208;33;192;2;0
nov 2017;13,484;779;358;2,169;254;44;662;5,810;553;210;432;373;299;638;265;62;143;196;36;198;2;0
dic 2017;19,753;1,483;435;2,680;278;48;1,169;7,445;1,477;313;553;439;522;1,344;321;78;216;569;52;325;4;1
ene 2018;11,944;727;339;1,892;250;40;307;5,360;529;191;392;350;259;467;210;68;154;201;30;177;1;0
feb 2018;11,643;696;306;1,894;248;40;433;4,891;517;201;413;343;255;492;232;111;148;205;28;188;2;0
mar 2018;13,112;818;417;2,037;253;44;384;5,698;558;224;430;375;277;568;250;62;252;244;30;191;2;0
abr 2018;12,935;761;329;2,032;258;40;396;5,605;548;222;448;360;284;626;258;71;231;234;27;200;2;0
may 2018;13,573;819;319;2,178;250;42;416;5,977;592;223;477;376;287;615;270;86;170;242;32;201;2;0
jun 2018;16,298;1,277;337;2,394;246;46;511;6,421;1,323;272;458;385;374;861;271;69;214;549;33;253;3;0
jul 2018;13,166;750;395;2,085;236;42;491;5,686;581;228;452;384;283;601;276;72;123;241;37;201;2;0
ago 2018;13,596;775;384;2,122;240;43;452;5,958;601;237;476;378;293;588;279;90;209;230;34;203;2;0
sep 2018;13,298;709;370;2,026;238;43;633;5,703;568;228;460;377;290;590;257;64;264;241;32;202;2;0
oct 2018;13,927;779;406;2,216;251;44;487;6,037;607;217;469;396;296;639;271;74;211;264;31;228;2;0
nov 2018;13,956;789;374;2,178;259;47;500;6,126;606;228;462;396;307;692;289;70;152;239;33;206;2;0
dic 2018;19,931;1,515;424;2,676;249;52;986;7,633;1,567;336;573;452;534;1,294;349;75;222;607;58;323;3;0
ene 2019;12,502;736;324;1,895;254;43;368;5,548;607;205;403;399;260;503;227;80;170;236;30;214;2;0
feb 2019;12,278;716;420;1,868;261;46;319;5,273;583;216;433;387;260;521;245;68;168;265;30;197;2;0
mar 2019;12,816;767;386;1,886;263;43;371;5,558;577;225;440;401;270;570;252;67;247;260;37;194;2;0
abr 2019;13,696;792;408;2,029;255;46;472;5,899;624;226;456;413;283;650;266;81;241;289;34;229;2;0
may 2019;13,774;872;443;2,050;271;46;422;6,014;599;237;463;401;286;640;280;68;173;261;38;208;2;0
jun 2019;16,291;1,312;457;2,213;250;46;412;6,482;1,374;286;455;388;368;798;277;69;221;578;35;265;2;0
jul 2019;13,517;830;401;1,981;248;48;424;5,970;589;241;446;438;290;596;283;74;136;259;35;225;2;0
ago 2019;13,491;810;374;2,008;249;47;388;5,985;587;250;455;420;293;553;281;65;217;251;42;212;2;0
sep 2019;13,456;756;432;1,983;249;52;401;5,889;587;227;453;399;282;594;265;68;309;261;32;215;2;0
oct 2019;13,252;842;431;2,010;253;51;449;5,686;553;218;433;405;286;588;252;79;198;266;32;218;2;0
nov 2019;14,027;901;367;2,130;248;52;456;6,201;587;252;453;398;292;624;293;66;168;277;37;221;2;0
dic 2019;20,795;1,704;408;2,662;259;55;817;8,021;1,546;361;763;485;525;1,263;487;89;241;704;57;343;2;0
ene 2020;12,892;827;368;1,891;263;54;267;5,730;599;219;391;476;268;486;237;81;176;308;37;211;1;0
feb 2020;12,380;918;402;1,766;272;58;319;5,311;580;220;401;427;259;476;233;72;166;281;32;184;1;0
mar 2020;10,161;736;326;1,483;257;50;239;4,300;433;125;366;373;229;400;190;55;202;222;26;149;1;0
abr 2020;7,481;688;309;1,078;260;41;147;2,927;321;59;318;287;156;300;136;29;110;177;16;122;1;0
may 2020;8,652;741;208;1,347;253;41;159;3,770;352;73;334;300;178;295;139;33;124;164;12;129;1;0
jun 2020;13,475;1,348;249;1,883;246;51;250;5,659;951;144;385;329;281;602;182;53;165;466;20;209;2;0
jul 2020;10,969;738;289;1,716;230;48;263;5,032;398;111;382;379;208;418;177;52;97;247;14;170;1;0
ago 2020;10,965;670;296;1,687;237;52;310;4,987;385;127;388;378;208;422;170;61;149;272;16;150;1;0
sep 2020;11,703;713;317;1,835;173;50;317;5,318;442;134;388;363;221;474;166;56;234;319;21;162;1;0
oct 2020;12,321;781;326;1,958;234;53;311;5,545;484;146;403;386;235;502;187;62;202;297;18;190;1;0
nov 2020;12,401;770;321;1,920;254;57;345;5,667;477;161;399;376;251;525;191;55;133;308;17;172;1;0
dic 2020;19,650;1,607;209;2,597;257;64;720;8,062;1,284;284;529;444;450;1,315;371;67;222;747;44;368;3;0
ene 2021;11,008;716;190;1,730;259;56;219;5,115;458;139;354;388;217;373;153;63;121;268;23;164;1;0
feb 2021;11,113;750;337;1,701;246;48;244;4,950;463;139;365;386;222;416;152;63;152;304;20;154;1;0
mar 2021;13,052;901;382;2,010;244;55;330;5,776;541;165;397;385;244;515;200;65;255;382;24;183;1;0
abr 2021;12,567;886;481;1,894;289;55;304;5,487;513;144;394;376;241;537;179;62;186;335;21;182;1;0
may 2021;12,855;937;358;1,968;261;55;294;5,752;556;146;398;377;241;505;201;59;155;386;20;184;1;0
jun 2021;18,157;1,599;387;2,518;263;63;418;7,548;1,233;290;450;388;347;962;281;62;208;749;36;350;3;0
jul 2021;13,316;928;376;2,017;238;58;327;6,135;575;186;394;389;258;513;221;63;117;308;20;192;1;0
ago 2021;13,727;912;369;2,141;261;58;336;6,301;587;195;412;401;251;519;230;75;184;284;26;185;1;0
sep 2021;14,189;973;373;2,238;263;61;361;6,461;580;181;398;421;265;548;221;60;270;298;27;189;1;0
oct 2021;14,298;1,026;302;2,291;279;58;378;6,514;584;202;404;433;269;558;223;61;190;295;27;205;1;0
nov 2021;14,949;1,005;344;2,341;265;62;418;6,894;626;211;409;429;282;577;351;64;150;295;28;195;1;0
dic 2021;23,486;1,870;571;3,067;288;89;939;9,336;1,572;396;538;545;499;1,552;422;79;251;949;60;456;4;0
ene 2022;12,931;912;175;2,030;269;56;231;6,163;552;160;340;451;232;460;193;68;134;298;24;180;1;0
feb 2022;13,152;923;243;2,076;299;63;281;5,958;574;185;361;470;237;464;218;66;164;372;26;169;1;0
mar 2022;15,102;1,049;517;2,368;265;55;365;6,825;637;193;399;466;269;536;252;84;258;342;34;186;1;0
abr 2022;14,838;967;474;2,312;291;63;379;6,725;661;207;380;451;268;587;244;75;209;329;28;186;1;0
may 2022;15,177;1,043;393;2,429;287;60;334;7,040;666;207;387;454;286;552;250;89;176;305;30;188;1;0
jun 2022;20,385;1,862;466;2,636;276;66;539;8,264;1,536;395;456;453;390;1,086;374;71;257;765;64;423;3;0
jul 2022;15,173;1,095;404;2,399;266;61;394;7,010;639;215;387;456;279;548;268;78;118;336;28;192;1;0
ago 2022;15,824;1,049;402;2,513;282;61;463;7,290;714;227;411;478;275;570;278;72;197;319;35;187;1;0
sep 2022;15,681;967;461;2,442;277;61;427;7,149;731;205;411;521;277;593;260;73;289;320;34;180;1;0
oct 2022;15,636;1,015;420;2,414;281;57;452;7,145;704;227;398;493;285;617;259;74;227;342;33;191;1;0
nov 2022;16,033;993;504;2,479;283;60;479;7,285;713;206;422;489;305;634;360;77;160;372;33;179;1;0
dic 2022;26,591;2,225;534;3,338;319;85;1,001;10,646;1,897;496;608;582;538;1,757;569;86;291;996;101;513;3;0
ene 2023;14,281;958;271;2,178;312;57;290;6,646;753;199;384;505;254;502;225;90;156;284;36;180;0;0
feb 2023;13,764;927;422;2,047;352;58;318;6,096;727;193;370;460;250;520;244;67;171;357;28;155;0;0
mar 2023;15,942;1,054;562;2,417;324;59;389;6,987;784;224;414;563;286;619;278;88;285;401;34;172;1;0
abr 2023;14,759;951;473;2,178;311;63;427;6,538;760;200;399;501;276;624;267;88;211;296;29;166;0;0
may 2023;15,616;1,037;476;2,366;313;50;412;7,014;783;213;410;545;289;597;264;91;184;379;33;159;0;0
jun 2023;21,762;1,857;501;2,880;332;65;548;8,728;1,862;405;478;552;410;1,097;406;84;262;896;61;386;2;0
jul 2023;16,634;1,102;503;2,521;324;63;474;7,665;794;251;431;563;306;634;305;81;141;393;30;190;0;0
ago 2023;16,978;1,072;495;2,589;325;64;504;7,843;817;265;449;564;303;637;304;80;223;379;34;178;0;0
sep 2023;17,130;1,074;528;2,600;309;65;522;7,868;825;246;445;584;306;669;290;79;322;400;36;191;1;0
oct 2023;17,278;1,159;508;2,683;332;64;540;7,959;816;269;442;592;313;687;294;79;246;394;33;200;0;0
nov 2023;17,732;1,161;527;2,720;342;66;584;8,243;826;260;454;590;328;713;396;79;184;406;34;183;0;0
dic 2023;27,542;2,230;570;3,496;358;80;1,126;11,114;2,138;530;629;698;578;1,767;594;79;303;1,131;77;507;2;0
ene 2024;15,532;1,075;389;2,397;340;64;349;7,479;794;235;399;600;277;538;249;79;177;358;34;189;0;0
feb 2024;15,293;1,103;481;2,344;352;65;402;7,060;783;239;404;579;276;557;267;79;198;434;29;161;0;0
mar 2024;16,835;1,188;575;2,557;348;64;465;7,731;818;262;438;611;299;632;303;79;306;465;35;186;0;0
abr 2024;15,772;1,133;560;2,415;358;65;459;7,260;783;241;422;571;285;639;289;79;234;401;29;180;0;0
may 2024;16,511;1,217;519;2,591;347;63;441;7,817;806;252;432;592;297;610;290;79;203;438;31;171;0;0
jun 2024;21,899;2,036;536;2,994;341;69;578;9,243;1,843;445;482;590;404;1,075;419;79;275;983;51;392;2;0
jul 2024;16,892;1,210;541;2,621;333;67;502;8,113;791;281;435;609;304;622;317;79;150;423;28;195;0;0
ago 2024;17,269;1,174;534;2,692;343;67;533;8,304;817;296;454;614;301;626;320;79;235;399;33;180;0;0
sep 2024;17,450;1,160;568;2,703;329;68;552;8,334;827;276;449;629;304;658;302;79;337;413;34;191;0;0
oct 2024;17,624;1,241;547;2,790;345;67;570;8,428;821;300;446;637;310;676;306;79;259;421;32;204;0;0
nov 2024;17,909;1,173;533;2,747;345;67;590;8,326;834;263;458;596;331;720;400;80;186;410;35;184;0;0
dic 2024;27,818;2,252;576;3,530;362;81;1,138;11,225;2,159;535;636;705;584;1,784;600;80;306;1,142;78;512;2;0
ene 2025;15,688;1,086;392;2,421;343;64;353;7,554;802;238;403;606;279;543;251;80;179;361;34;190;0;0
feb 2025;15,446;1,114;486;2,368;356;65;406;7,130;791;241;408;585;278;563;269;80;199;438;30;163;0;0
mar 2025;17,004;1,200;581;2,582;351;64;469;7,809;826;265;442;617;302;638;306;80;309;470;36;188;0;0
abr 2025;15,930;1,144;565;2,439;361;66;463;7,333;791;243;426;576;288;645;292;80;236;405;29;182;0;0
may 2025;16,676;1,229;524;2,617;350;63;446;7,895;814;254;437;598;300;616;293;80;205;442;31;172;0;0
jun 2025;22,118;2,056;541;3,024;345;69;584;9,336;1,861;449;487;596;408;1,085;423;80;278;993;51;396;2;0
jul 2025;17,061;1,222;546;2,647;337;67;507;8,194;799;283;439;616;307;628;320;80;151;427;29;197;0;0
ago 2025;17,442;1,185;539;2,719;347;68;538;8,387;825;299;459;620;304;632;323;80;238;403;33;182;0;0
sep 2025;17,624;1,172;574;2,730;332;69;558;8,418;836;278;454;635;307;665;305;80;340;417;34;193;0;0
oct 2025;17,800;1,254;553;2,818;349;68;576;8,512;829;303;451;644;313;683;309;80;261;425;32;206;0;0
nov 2025;18,088;1,184;538;2,775;349;67;596;8,409;843;265;463;602;334;727;404;81;187;414;35;186;0;0
dic 2025;28,096;2,274;582;3,566;365;81;1,149;11,338;2,181;541;642;712;590;1,802;606;81;309;1,153;78;517;2;0
ene 2026;15,844;1,097;396;2,445;347;65;357;7,630;810;240;407;612;282;549;254;81;181;365;34;192;0;0
feb 2026;15,601;1,125;491;2,391;359;66;410;7,202;799;243;412;591;281;568;272;81;201;443;30;164;0;0
mar 2026;17,174;1,212;586;2,608;355;65;474;7,887;834;267;446;623;305;644;309;81;312;475;36;190;0;0
abr 2026;16,089;1,156;571;2,464;365;66;468;7,406;799;246;431;582;291;652;295;81;238;409;30;184;0;0
may 2026;16,842;1,241;529;2,643;354;64;450;7,974;823;257;441;604;303;622;296;81;207;447;31;174;0;0
jun 2026;22,339;2,077;546;3,054;348;70;590;9,429;1,880;453;492;602;413;1,096;427;81;281;1,003;52;400;2;0
jul 2026;17,231;1,235;552;2,673;340;68;512;8,276;807;286;444;622;310;634;323;81;153;431;29;199;0;0
ago 2026;17,616;1,197;544;2,746;350;69;543;8,471;833;302;463;627;307;638;326;81;240;408;33;184;0;0
sep 2026;17,801;1,183;580;2,758;336;70;563;8,502;844;281;458;641;310;671;308;81;343;421;34;195;0;0
oct 2026;17,978;1,266;558;2,846;352;69;582;8,597;838;306;455;650;317;689;312;81;264;429;32;208;0;0
nov 2026;18,269;1,196;543;2,803;352;68;602;8,493;851;268;468;608;338;734;408;82;189;419;35;188;0;0
dic 2026;28,377;2,297;587;3,601;369;82;1,160;11,451;2,203;546;648;719;596;1,820;612;82;312;1,165;79;522;2;0
ene 2027;16,003;1,108;400;2,470;350;66;360;7,706;818;243;411;618;285;554;257;82;182;368;35;194;0;0
feb 2027;15,757;1,136;495;2,415;363;66;414;7,274;807;246;417;597;284;574;275;82;203;447;30;166;0;0
mar 2027;17,346;1,225;592;2,634;358;66;479;7,966;843;270;451;629;308;651;312;82;316;479;36;192;0;0
abr 2027;16,250;1,167;577;2,488;369;67;473;7,480;807;248;435;588;294;658;297;82;241;413;30;186;0;0
may 2027;17,011;1,254;535;2,669;357;64;455;8,054;831;260;446;610;306;629;299;82;210;451;32;176;0;0
jun 2027;22,563;2,098;552;3,084;351;71;596;9,523;1,899;458;497;608;417;1,107;431;82;284;1,013;53;404;2;0
jul 2027;17,404;1,247;557;2,700;344;69;517;8,359;815;289;448;628;313;641;327;82;154;436;29;201;0;0
ago 2027;17,792;1,209;550;2,774;354;70;549;8,556;842;305;468;633;310;645;329;82;242;412;34;185;0;0
sep 2027;17,979;1,195;586;2,785;339;71;569;8,587;852;284;463;648;313;678;312;82;347;425;35;197;0;0
oct 2027;18,158;1,279;564;2,875;356;69;588;8,683;846;309;460;657;320;696;315;82;266;433;33;210;0;0
nov 2027;18,452;1,208;549;2,831;356;69;608;8,578;859;270;472;614;341;742;412;82;191;423;36;190;0;0
dic 2027;28,661;2,320;593;3,637;373;83;1,172;11,565;2,225;552;655;726;602;1,839;618;82;315;1,177;80;528;2;0
ene 2028;16,163;1,119;404;2,494;354;66;364;7,783;827;245;415;624;288;560;259;82;184;372;35;196;0;0
feb 2028;15,914;1,148;500;2,439;367;67;418;7,346;815;248;421;603;287;580;278;82;206;452;30;168;0;0
mar 2028;17,519;1,237;598;2,660;362;66;484;8,045;851;273;455;636;311;657;315;82;319;484;37;194;0;0
abr 2028;16,412;1,179;582;2,513;372;68;477;7,555;815;251;439;594;297;665;300;82;243;417;30;188;0;0
may 2028;17,181;1,266;540;2,696;361;65;459;8,134;839;262;450;616;309;635;302;82;212;456;32;178;0;0
jun 2028;22,788;2,118;557;3,115;355;72;602;9,619;1,918;463;502;614;421;1,118;436;82;286;1,023;53;408;2;0
jul 2028;17,578;1,259;563;2,727;347;69;522;8,442;823;292;453;634;316;647;330;82;156;440;29;203;0;0
ago 2028;17,970;1,221;555;2,801;357;70;554;8,641;850;308;472;639;313;651;333;82;245;416;34;187;0;0
sep 2028;18,158;1,207;592;2,813;342;71;575;8,673;861;287;468;654;316;685;315;82;350;430;35;199;0;0
oct 2028;18,340;1,292;570;2,903;359;70;594;8,770;854;312;464;663;323;703;318;82;269;438;33;212;0;0
nov 2028;18,636;1,220;554;2,859;359;69;614;8,664;868;273;477;620;345;749;416;83;193;427;36;192;0;0
dic 2028;28,947;2,343;599;3,674;376;84;1,184;11,681;2,247;557;661;734;608;1,857;624;83;319;1,188;81;533;2;0
ene 2029;16,325;1,130;408;2,519;357;67;367;7,861;835;247;420;631;291;565;262;83;186;376;35;198;0;0
feb 2029;16,074;1,159;505;2,464;370;68;422;7,420;823;251;425;609;290;586;280;83;208;456;31;169;0;0
mar 2029;17,694;1,249;604;2,687;366;67;488;8,126;860;275;460;642;314;664;319;83;322;489;37;196;0;0
abr 2029;16,576;1,191;588;2,538;376;68;482;7,631;823;253;444;600;300;672;303;83;246;421;31;189;0;0
may 2029;17,353;1,279;545;2,723;364;66;464;8,215;848;265;455;622;312;641;305;83;214;460;32;179;0;0
jun 2029;23,016;2,140;563;3,146;359;72;608;9,715;1,937;467;507;620;425;1,129;440;83;289;1,033;54;412;2;0
jul 2029;17,754;1,272;569;2,754;350;70;528;8,527;831;295;457;641;319;653;333;83;157;444;30;205;0;0
ago 2029;18,150;1,234;561;2,829;361;71;560;8,728;858;311;477;646;316;658;336;83;247;420;34;189;0;0
sep 2029;18,340;1,219;597;2,841;346;72;580;8,759;870;290;472;661;319;692;318;83;354;434;35;201;0;0
oct 2029;18,523;1,305;575;2,932;363;71;600;8,858;863;315;469;670;326;710;321;83;272;442;33;214;0;0
nov 2029;18,823;1,232;560;2,888;363;70;620;8,750;877;276;482;626;348;756;420;84;195;431;36;194;0;0
dic 2029;29,237;2,367;605;3,711;380;85;1,196;11,798;2,270;563;668;741;614;1,875;630;84;322;1,200;81;538;2;0
ene 2030;16,488;1,142;412;2,544;361;68;371;7,940;843;250;424;637;294;571;264;84;188;380;36;200;0;0
feb 2030;16,234;1,171;510;2,489;374;68;427;7,494;831;253;429;615;293;591;283;84;210;461;31;171;0;0
mar 2030;17,871;1,262;610;2,714;369;68;493;8,207;868;278;464;648;317;671;322;84;325;494;37;197;0;0
abr 2030;16,742;1,203;594;2,564;380;69;487;7,707;831;256;448;606;303;678;307;84;248;426;31;191;0;0
may 2030;17,526;1,292;551;2,750;368;66;468;8,298;856;267;459;628;315;648;308;84;216;465;33;181;0;0
