ciiu,descripcion
A0114          ,CULTIVO DE CAÑA DE AZÚCAR.
A0114.0        ,CULTIVO DE CAÑA DE AZÚCAR.
A0114.00       ,CULTIVO DE CAÑA DE AZÚCAR.
A0115          ,CULTIVO DE TABACO.
A0115.0        ,CULTIVO DE TABACO.
A0115.00       ,CULTIVO DE TABACO EN BRUTO.
A0116          ,CULTIVO DE PLANTAS DE FIBRAS.
A0116.0        ,CULTIVO DE PLANTAS DE FIBRAS.
A0116.01       ,CULTIVO DE ALGODÓN.
A0116.02       ,"CULTIVO DE YUTE, KENAF Y OTRAS PLANTAS DE FIBRAS TEXTILES BLANDAS."
A0116.03       ,CULTIVO DE LINO Y CÁÑAMO.
A0116.04       ,CULTIVO DE SISAL Y OTRAS PLANTAS DE FIBRAS TEXTILES DEL GÉNERO AGAVE.
A0116.05       ,"CULTIVO DE ABACÁ, RAMIO Y OTRAS PLANTAS DE FIBRAS TEXTILES."
A0116.09       ,CULTIVO DE OTRAS PLANTAS DE FIBRAS.
A0119          ,CULTIVO DE OTRAS PLANTAS NO PERENNES.
A0119.0        ,CULTIVO DE OTRAS PLANTAS NO PERENNES.
A0119.01       ,"CULTIVO DE PLANTAS FORRAJERAS: NABOS FORRAJEROS, REMOLACHA FORRAJERA, RAÍCES FORRAJERAS, TRÉBOL, ALFALFA, ESPARCETA, MAÍZ FORRAJERO, KIKUYO, RAYGRÁS Y OTRAS PLANTAS FORRAJERAS."
A0119.02       ,CULTIVO DE SEMILLAS DE REMOLACHA (EXCEPTUANDO LA REMOLACHA AZUCARERA) Y SEMILLAS DE PLANTAS FORRAJERAS.
A0119.03       ,"CULTIVO DE FLORES, INCLUIDA LA PRODUCCIÓN DE FLORES CORTADAS Y CAPULLOS."
A0119.04       ,PRODUCCIÓN DE SEMILLAS DE FLORES.
A012           ,CULTIVO DE PLANTAS PERENNES.
A0121          ,CULTIVO DE UVAS.
A0121.0        ,CULTIVO DE UVAS.
A0121.00       ,CULTIVO DE UVAS PARA VINO Y UVAS PARA SER CONSUMIDAS COMO FRUTA FRESCA.
A0122          ,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES.
A0122.0        ,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES.
A0122.01       ,CULTIVO DE BANANOS Y PLÁTANOS.
A0122.02       ,CULTIVO DE MANGOS.
A0122.03       ,CULTIVO DE MARACUYÁ.
A0122.04       ,CULTIVO DE PIÑAS.
A0122.09       ,"OTROS CULTIVOS DE FRUTAS TROPICALES Y SUBTROPICALES: PAPAYAS, BABACOS, CHAMBUROS, AGUACATES, HIGOS, ARAZÁ, GUAYABAS, GUANÁBANA, GUABA, CHIRIMOYA, NARANJILLAS, ZAPOTES, BOROJÓ, TAMARINDO, GRANADILLAS, DÁTILES, ETCÉTERA."
A0123          ,CULTIVO DE CÍTRICOS.
A0123.0        ,CULTIVO DE CÍTRICOS.
A0123.01       ,CULTIVO DE NARANJAS.
A0123.02       ,"CULTIVO DE MANDARINAS, CLEMENTINAS Y TANGERINAS."
A0123.09       ,"OTROS CULTIVOS DE CÍTRICOS, LIMONES, TORONJAS, LIMAS, ETCÉTERA."
A0124          ,CULTIVO DE FRUTAS CON HUESO Y CON PEPA.
A0124.0        ,CULTIVO DE FRUTAS CON HUESO Y CON PEPA.
A0124.01       ,"CULTIVO DE MANZANAS, PERAS Y MEMBRILLOS."
A0124.02       ,"CULTIVO DE DURAZNOS (MELOCOTONES), ALBARICOQUES Y NECTARINAS."
A0124.09       ,"OTROS CULTIVOS DE FRUTAS CON HUESO Y CON PEPA: CEREZAS, CIRUELAS, ENDRINAS, CAPULÍES, OVOS, CLAUDIAS, ETCÉTERA."
A0125          ,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS.
A0125.0        ,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS.
A0125.01       ,"CULTIVO DE BAYAS GROSELLAS, GROSELLAS ESPINOSAS, KIWIS, FRAMBUESAS, FRESAS (FRUTILLAS), MORAS, MORTIÑOS (ARÁNDANOS), UVILLA Y OTRAS BAYAS."
A0125.02       ,CULTIVO DE TOMATES DE ÁRBOL.
A0125.03       ,PRODUCCIÓN DE SEMILLAS DE FRUTAS.
A0125.04       ,"CULTIVOS DE NUECES COMESTIBLES: ALMENDRAS, ANACARDOS, CASTAÑAS, AVELLANAS, PISTACHOS, NUECES DE NOGAL Y OTRAS NUECES."
A0125.09       ,"OTROS CULTIVOS DE FRUTOS DE ÁRBOLES Y ARBUSTOS: PITAHAYA, TUNA, ALGARROBA, TAXOS, ETCÉTERA."
A0126          ,CULTIVO DE FRUTOS OLEAGINOSOS.
A0126.0        ,CULTIVO DE FRUTOS OLEAGINOSOS.
A0126.01       ,CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).
A0126.09       ,"OTROS CULTIVOS DE FRUTOS OLEAGINOSOS: COCOS, ACEITUNAS, ETCÉTERA."
A0127          ,CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS.
A0127.0        ,CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS.
A0127.01       ,CULTIVO DE CAFÉ.
A0127.02       ,CULTIVO DE CACAO.
A0127.09       ,"OTROS CULTIVOS DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS: TÉ, MATE, ETCÉTERA."
A0128          ,"CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS."
A0128.0        ,"CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS."
A0128.01       ,"CULTIVO DE ESPECIAS DEL GÉNERO CAPSICUM: AJÍES, PIMIENTOS, ETCÉTERA."
A0128.02       ,"CULTIVO DE ESPECIAS PERENNES Y NO PERENNES: NUEZ MOSCADA, MACIS, CARDAMOMOS, ANÍS, BADIANA, HINOJO, PIMIENTA, CANELA, CLAVO, JENGIBRE, VAINILLA, LÚPULO, ESTRAGÓN, ETCÉTERA."
A0128.03       ,"CULTIVO DE PLANTAS MEDICINALES, NARCÓTICAS Y PLANTAS UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA, PARA LA PREPARACIÓN DE INSECTICIDAS, FUNGICIDAS O PROPÓSITOS SIMILARES: ORTIGA, MENTA, BELLADONA, HIERBA LUISA, MANZANILLA, GUANTO, ORÉGANO, UÑA DE GATO, ETCÉTERA."
A0129          ,CULTIVO DE OTRAS PLANTAS PERENNES.
A0129.0        ,CULTIVO DE OTRAS PLANTAS PERENNES.
A0129.01       ,"CULTIVO DE MATERIALES VEGETALES DE LOS TIPOS UTILIZADOS PRINCIPALMENTE PARA TRENZAR: PAJA TOQUILLA, TOTORA, BAMBÚ, MIMBRE, ETCÉTERA."
A0129.02       ,CULTIVO DE PALMITO.
A0129.09       ,"OTROS CULTIVOS DE PLANTAS PERENNES: CULTIVO DE ÁRBOLES DE CAUCHO, LÁTEX, ÁRBOLES PARA LA EXTRACCIÓN DE SAVIA, ÁRBOLES DE NAVIDAD, ETCÉTERA."
A013           ,PROPAGACIÓN DE PLANTAS.
A0130          ,PROPAGACIÓN DE PLANTAS.
A0130.0        ,PROPAGACIÓN DE PLANTAS.
A0161.01       ,"ACTIVIDADES DE ACONDICIONAMIENTO Y MANTENIMIENTO DE TERRENOS PARA USOS AGRÍCOLAS: PLANTACIÓN O SIEMBRA DE CULTIVOS Y COSECHA, PODA DE ÁRBOLES FRUTALES Y VIÑAS, TRANSPLANTE DE ARROZ Y ENTRESACADO DE REMOLACHA."
A0130.00       ,"EXPLOTACIÓN DE VIVEROS (EXCEPTO VIVEROS FORESTALES), CULTIVO DE PLANTAS PARA: EL TRASPLANTE INCLUIDO CÉSPED PARA TRASPLANTE, PLANTAS CON FINES ORNAMENTALES, PLANTAS VIVAS PARA UTILIZAR SUS BULBOS, TUBÉRCULOS Y RAÍCES; ESQUEJES E INJERTOS; ESTACAS; ESPORAS DE HONGOS, ETCÉTERA."
A014           ,GANADERÍA.
A0141          ,CRÍA DE GANADO BOVINO Y BÚFALOS.
A0141.0        ,CRÍA DE GANADO BOVINO Y BÚFALOS.
A0141.01       ,CRÍA Y REPRODUCCIÓN DE GANADO BOVINO INCLUIDO LA OBTENCIÓN DE PELO Y EXCREMENTO.
A0141.02       ,PRODUCCIÓN DE LECHE CRUDA DE VACA.
A0141.03       ,PRODUCCIÓN DE SEMEN Y EMBRIONES BOVINOS.
A0141.09       ,CRÍA Y REPRODUCCIÓN DE OTRO TIPO DE GANADO BOVINO: BÚFALOS.
A0142          ,CRÍA DE CABALLOS Y OTROS EQUINOS.
A0142.0        ,CRÍA DE CABALLOS Y OTROS EQUINOS.
A0142.01       ,CRÍA Y REPRODUCCIÓN DE CABALLOS (INCLUIDOS CABALLOS DE CARRERAS).
A0142.02       ,"CRÍA Y REPRODUCCIÓN DE ASNOS (BURROS), MULAS Y BURDÉGANOS."
A0143          ,CRÍA DE CAMELLOS Y OTROS CAMÉLIDOS.
A0143.0        ,CRÍA DE CAMELLOS Y OTROS CAMÉLIDOS.
A0143.00       ,"CRÍA Y REPRODUCCIÓN DE CAMÉLIDOS: ALPACA, LLAMA, VICUÑA, ETCÉTERA INCLUIDO LA OBTENCIÓN DE PELO Y EXCREMENTO."
A0144          ,CRÍA DE OVEJAS Y CABRAS.
A0144.0        ,CRÍA DE OVEJAS Y CABRAS.
A0144.01       ,CRÍA Y REPRODUCCIÓN DE OVEJAS Y CABRAS.
A0144.02       ,PRODUCCIÓN DE LECHE CRUDA DE OVEJA Y CABRA.
A0144.03       ,PRODUCCIÓN DE LANA CRUDA Y PELO DE OVEJAS Y CABRAS.
A0144.04       ,PRODUCCIÓN DE SEMEN Y EMBRIONES DE OVEJAS Y CABRAS.
A0145          ,CRÍA DE CERDOS.
A0145.0        ,CRÍA DE CERDOS.
A0145.01       ,CRÍA Y REPRODUCCIÓN DE CERDOS.
A0145.02       ,PRODUCCIÓN DE SEMEN Y EMBRIONES DE CERDOS.
A0146          ,CRÍA DE AVES DE CORRAL.
A0146.0        ,CRÍA DE AVES DE CORRAL.
A0146.01       ,"EXPLOTACIÓN DE CRIADEROS DE POLLOS Y REPRODUCCIÓN DE AVES DE CORRAL, POLLOS Y GALLINAS (AVES DE LA ESPECIE GALLUS DOMESTICUS)."
A0146.02       ,"CRÍA Y REPRODUCCIÓN DE: CODORNICES, PATOS, GANSOS, PAVOS Y GALLINAS DE GUINEA."
A0146.03       ,PRODUCCIÓN DE HUEVOS DE AVES DE CORRAL.
A0149          ,CRÍA DE OTROS ANIMALES.
A0149.1        ,CRÍA Y REPRODUCCIÓN DE AVES.
A0149.10       ,"CRÍA Y REPRODUCCIÓN DE AVESTRUCES, EMÚES, PALOMAS, TÓRTOLAS Y OTRAS AVES (EXCEPTO AVES DE CORRAL)."
A0149.2        ,CRÍA Y REPRODUCCIÓN DE ANIMALES DE PELO.
A0149.20       ,CRÍA Y REPRODUCCIÓN DE CONEJOS Y CUYES.
A0149.3        ,CRÍA Y REPRODUCCIÓN DE OTROS ANIMALES SEMIDOMÉSTICOS.
A0149.31       ,CRÍA Y REPRODUCCIÓN DE INSECTOS.
A0149.32       ,CRÍA Y REPRODUCCIÓN DE REPTILES.
A0149.9        ,CRÍA DE OTROS ANIMALES.
A0149.91       ,"PRODUCCIÓN DE PIELES FINAS, CUEROS DE REPTILES Y PLUMAS DE AVES COMO PARTE DE LA EXPLOTACIÓN PECUARIA."
A0149.92       ,"EXPLOTACIÓN DE CRIADEROS DE GUSANOS (LOMBRICULTURA), MOLUSCOS TERRESTRES, CARACOLES, ETCÉTERA."
A0149.93       ,"CRÍA DE GUSANOS DE SEDA, PRODUCCIÓN DE CAPULLOS DE GUSANOS DE SEDA."
A0149.94       ,APICULTURA Y PRODUCCIÓN DE CERA Y MIEL DE ABEJA.
A0149.95       ,"CRÍA Y REPRODUCCIÓN DE ANIMALES DOMÉSTICOS (EXCEPTO PECES): GATOS, PERROS, PÁJAROS, HÁMSTERS, ETCÉTERA."
A0149.96       ,CRÍA DE DIVERSOS ANIMALES.
A0149.97       ,"OBTENCIÓN DE PELO Y EXCREMENTO DE OTROS ANIMALES, N.C.P."
A015           ,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA).
A0150          ,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA).
A0150.0        ,EXPLOTACIÓN MIXTA (GRANJAS INTEGRALES).
A0150.00       ,"EXPLOTACIÓN MIXTA DE CULTIVOS Y ANIMALES SIN ESPECIALIZACIÓN EN NINGUNA DE LAS ACTIVIDADES. EL TAMAÑO DEL CONJUNTO DE LA EXPLOTACIÓN AGRÍCOLA NO ES UN FACTOR DETERMINANTE. SI EL CULTIVO DE PRODUCTOS AGRÍCOLAS O LA CRÍA DE ANIMALES REPRESENTAN EN UNA UNIDAD DETERMINADA UNA PROPORCIÓN IGUAL O SUPERIOR AL 66% DE LOS MÁRGENES BRUTOS CORRIENTES, LA ACTIVIDAD MIXTA NO DEBE CLASIFICARSE EN ESTA CLASE, SINO ENTRE LOS CULTIVOS O LAS ACTIVIDADES DE CRÍA DE ANIMALES."
A016           ,ACTIVIDADES DE APOYO A LA AGRICULTURA Y LA GANADERÍA Y ACTIVIDADES POSCOSECHA.
A0161          ,ACTIVIDADES DE APOYO A LA AGRICULTURA.
A0161.0        ,ACTIVIDADES AGRÍCOLAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
A0311.0        ,PESCA MARINA.
A0161.02       ,"ACTIVIDADES DE FUMIGACIÓN DE CULTIVOS, INCLUIDA LA FUMIGACIÓN AÉREA; TRATAMIENTO DE CULTIVOS, CONTROL DE PLAGAS (INCLUIDOS LOS CONEJOS); EN RELACIÓN CON LA AGRICULTURA."
A0161.03       ,SUMINISTRO DE MAQUINARIA AGRÍCOLA CON OPERADORES Y PERSONAL.
A0161.04       ,MANEJO DE SISTEMAS DE RIEGO CON FINES AGRÍCOLAS.
A0162          ,ACTIVIDADES DE APOYO A LA GANADERÍA.
A0162.0        ,ACTIVIDADES DE APOYO A LA GANADERÍA.
A0162.01       ,"ACTIVIDADES PARA MEJORAR LA REPRODUCCIÓN, CRECIMIENTO Y RENDIMIENTO DE LOS ANIMALES RELACIONADAS CON LA INSEMINACIÓN ARTIFICIAL, SERVICIOS DE SEMENTALES."
A0162.02       ,"SERVICIOS DE INSPECCIÓN SANITARIA, ARREO Y PASTURAJE DE GANADO, CAPADURA DE ANIMALES, LIMPIEZA DE GALLINEROS, ETCÉTERA."
A0162.09       ,"OTRAS ACTIVIDADES DE APOYO A LA GANADERÍA: ACTIVIDADES DE ALBERGUE Y CUIDADO DE ANIMALES DE GRANJA, ESQUILA DE OVEJAS, HERRADORES, ETCÉTERA"
A0163          ,ACTIVIDADES POSCOSECHA.
A0163.0        ,ACTIVIDADES POSCOSECHA.
A0163.01       ,"ACTIVIDADES DE PREPARACIÓN DE LA COSECHA PARA SU COMERCIALIZACIÓN EN LOS MERCADOS PRIMARIOS: LIMPIEZA, RECORTE, CLASIFICACIÓN, DESINFECCIÓN, EMPACADO POSCOSECHA, ENCERADO DE FRUTAS."
A0163.09       ,"OTRAS ACTIVIDADES DE POSCOSECHA: DESMOTADO DE ALGODÓN, PREPARACIÓN DE HOJAS DE TABACO, PREPARACIÓN DE CACAO Y CAFÉ EN GRANO, SECADO AL SOL DE FRUTAS Y HORTALIZAS."
A0164          ,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN.
A0164.0        ,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN.
A0164.00       ,"ACTIVIDADES POSCOSECHA DIRIGIDAS A MEJORAR LA CALIDAD DE LAS SEMILLAS PARA PROPAGACIÓN, A TRAVÉS DE LA ELIMINACIÓN DE LOS MATERIALES QUE NO SON SEMILLA, SEMILLAS DE TAMAÑO INFERIOR AL NORMAL, SEMILLAS DAÑADAS MECÁNICAMENTE O POR INSECTOS Y SEMILLAS INMADURAS, ASÍ COMO LA ELIMINACIÓN DE LA HUMEDAD DE LAS SEMILLAS HASTA UN NIVEL QUE PERMITA SU ALMACENAMIENTO SEGURO. ESTA ACTIVIDAD INCLUYE EL SECADO, LIMPIEZA, CLASIFICACIÓN Y TRATAMIENTO DE SEMILLAS HASTA SU COMERCIALIZACIÓN. SE INCLUYE ASI MISMO EL TRATAMIENTO DE SEMILLAS GENÉTICAMENTE MODIFICADAS."
A017           ,"CAZA ORDINARIA, MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS."
A0170          ,"CAZA ORDINARIA, MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS."
A0170.0        ,"CAZA ORDINARIA, MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS."
A0170.01       ,"ACTIVIDADES DE CAZA ORDINARIA Y MEDIANTE TRAMPAS PARA FINES COMERCIALES. CAPTURA DE ANIMALES (VIVOS O MUERTOS) PARA CARNE, PRODUCCIÓN DE PIELES INCLUSO PIELES FINAS, CUEROS (CUEROS DE REPTILES), PLUMAS PARA UTILIZARLOS EN LA INVESTIGACIÓN, EN ZOOLÓGICOS O COMO ANIMALES DOMÉSTICOS."
A0170.02       ,"CAPTURA EN TIERRA DE MAMÍFEROS MARINOS, COMO FOCAS Y MORSAS."
A02            ,SILVICULTURA Y EXTRACCIÓN DE MADERA.
A021           ,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES.
A0210          ,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES.
A0210.0        ,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES.
A0210.01       ,"EXPLOTACIÓN DE VIVEROS FORESTALES Y MADERA EN PIE : PLANTACIÓN, REPLANTE, TRANSPLANTE, ACLAREO Y CONSERVACIÓN DE BOSQUES Y ZONAS FORESTADAS (ESTAS ACTIVIDADES PUEDEN SER LLEVADAS A CABO EN BOSQUES NATURALES O EN PLANTACIONES FORESTALES)."
A0210.02       ,"CULTIVO DE MONTE BAJO (ARBUSTOS), MADERA PARA PASTA Y PARA LEÑA (ESTA ACTIVIDAD PUEDE SER LLEVADA A CABO EN BOSQUES NATURALES O EN PLANTACIONES FORESTALES)."
A022           ,EXTRACCIÓN DE MADERA.
A0220          ,EXTRACCIÓN DE MADERA.
A0220.0        ,EXTRACCIÓN DE MADERA.
A0220.01       ,"PRODUCCIÓN DE MADERA EN BRUTO (ROLLOS) PARA LAS INDUSTRIAS MANUFACTURERAS QUE UTILIZAN PRODUCTOS FORESTALES, CHONTA, BALSA, CIPRÉS, PINO, ETCÉTERA."
A0220.02       ,"PRODUCCIÓN DE MADERA EN BRUTO (ROLLOS) UTILIZADA EN FORMA NO PROCESADA COMO PUNTALES, ESTACAS, CERCAS, ETCÉTERA."
A0220.03       ,ACTIVIDADES DE RECOLECCIÓN Y PRODUCCIÓN DE LEÑA.
A023           ,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA.
A0230          ,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA.
A0230.0        ,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA.
A0230.00       ,"RECOLECCIÓN DE MATERIALES SILVESTRES: HONGOS, TRUFAS, BAYAS, NUECES, BALATA Y OTRAS GOMAS SIMILARES AL CAUCHO, CORCHO, GOMA LACA Y RESINAS, BÁLSAMOS, CRIN VEGETAL, CRIN MARINA (ZOSTERA), BELLOTAS Y CASTAÑAS DE INDIAS, MUSGOS Y LÍQUENES, ETCÉTERA."
A024           ,SERVICIOS DE APOYO A LA SILVICULTURA.
A0240          ,SERVICIOS DE APOYO A LA SILVICULTURA.
A0240.0        ,ACTIVIDADES DE SERVICIOS FORESTALES.
A0240.01       ,"ACTIVIDADES DE INVENTARIOS FORESTALES Y EVALUACIÓN DE EXISTENCIAS MADERABLES, LUCHA CONTRA PLAGAS FORESTALES Y SERVICIOS DE CONSULTORÍA DE GESTIÓN FORESTAL."
A0240.02       ,ACTIVIDADES DE EXTINCIÓN Y PREVENCIÓN DE INCENDIOS FORESTALES.
A0240.03       ,TRANSPORTE DE TRONCOS DENTRO DEL BOSQUE.
A03            ,PESCA Y ACUICULTURA.
A031           ,PESCA.
A0311          ,PESCA MARINA.
A0311.01       ,"ACTIVIDADES DE PESCA DE ALTURA Y COSTERA: EXTRACCIÓN DE PECES, CRUSTÁCEOS Y MOLUSCOS MARINOS, TORTUGAS, ERIZOS DE MAR, ASCIDIAS Y OTROS TUNICADOS, ETCÉTERA."
A0311.02       ,ACTIVIDADES DE CAPTURA DE BALLENAS.
A0311.03       ,ACTIVIDADES DE BUQUES DEDICADOS TANTO A LA PESCA MARINA COMO A LA PREPARACIÓN Y CONSERVACIÓN DE PESCADO.
A0311.09       ,"RECOLECCIÓN DE OTROS MATERIALES Y ORGANISMOS MARINOS: PERLAS NATURALES, ESPONJAS, CORALES Y ALGAS."
A0312          ,PESCA DE AGUA DULCE.
A0312.0        ,PESCA DE AGUA DULCE.
A0312.01       ,"PESCA EN AGUAS INTERIORES, EXTRACCIÓN DE PECES, CRUSTÁCEOS Y MOLUSCOS DE AGUA DULCE."
A0312.02       ,RECOLECCIÓN DE MATERIALES DE AGUA DULCE.
A032           ,ACUICULTURA.
A0321          ,ACUICULTURA MARINA.
A0321.0        ,ACUICULTURA MARINA.
A0321.01       ,ACTIVIDADES DE ACUICULTURA EN AGUA DEL MAR O EN TANQUES DE AGUA SALADA: CRÍA DE PECES INCLUIDO LA CRIA DE PECES ORNAMENTALES MARINOS.
A0321.02       ,"EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN)."
A0321.03       ,"PRODUCCIÓN DE LARVAS DE BIVALVOS (OSTRAS, MEJILLONES, ETCÉTERA) Y DE OTROS MOLUSCOS, CRÍAS DE BOGAVANTE, ALEVINES Y JARAMUGOS, CRÍA DE CRUSTÁCEOS (LANGOSTAS Y LANGOSTINOS) Y OTROS ANIMALES ACUÁTICOS EN AGUA DE MAR."
A0321.04       ,"ACTIVIDADES DE CULTIVO DE PERLAS, LAVER Y OTRAS ALGAS COMESTIBLES."
A0322          ,ACUICULTURA DE AGUA DULCE.
A0322.0        ,ACUICULTURA DE AGUA DULCE.
A0322.01       ,"CRÍA Y EXPLOTACIÓN DE CRIADEROS DE PECES (DE AGUA DULCE) INCLUIDO PECES ORNAMENTALES, TRUCHAS, TILAPIAS, ETCÉTERA."
A0322.02       ,"CRÍA DE CRUSTÁCEOS, BIVALVOS, MOLUSCOS Y OTROS ANIMALES ACUÁTICOS DE AGUA DULCE."
A0322.03       ,CRÍA DE RANAS.
B              ,EXPLOTACIÓN DE MINAS Y CANTERAS.
B05            ,EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO.
B051           ,EXTRACCIÓN DE CARBÓN DE PIEDRA.
B0510          ,EXTRACCIÓN DE CARBÓN DE PIEDRA.
B0510.0        ,EXTRACCIÓN DE CARBÓN DE PIEDRA.
